This supplement lists certain entities or addresses subject to license requirements and other Entity List restrictions for specified items under this part 744 and part 746 of the EAR. License requirements for these entities include exports, reexports, and transfers (in-country) unless otherwise stated. A license is required, to the extent specified on the Entity List, to export, reexport, or transfer (in-country) any item subject to the EAR when an entity or a party to the transaction is operating at an address that is listed on the Entity List under an address entry is a party to the transaction as described in § 748.5(c) through (f) of the EAR. The Entity List license requirements and other Entity List restrictions also apply to any foreign entity that is owned, directly or indirectly, individually or in aggregate, 50 percent or more by one or more listed entities or entities that are subject to restrictions based upon their ownership. An entity owned 50 percent or more, directly or indirectly, by multiple entities subject to EAR license requirements pursuant to some combination of the Entity List, MEU List, or SDN List designated under programs listed in § 744.8(a)(1), is subject to the most restrictive license requirements, license exception eligibility, and license review policy applicable to one or more of its owners under the EAR. If an exporter, reexporter, or transferor cannot determine the ownership percentage of a foreign entity that is an entity owned, directly or indirectly, by one or more listed entities, they must resolve the Red Flag or obtain a license from BIS prior to proceeding with the export, reexport, or transfer (in-country), unless a license exception is available (see Red Flag 29 in supplement no. 3 to part 732). This list is revised and updated on a periodic basis in this supplement by adding new or amended notifications and deleting notifications no longer in effect.
Country | Entity | License requirement | License reviewpolicy | Federal Register citation
AFGHANISTAN | Abdul Satar Ghoura, 501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri, Kabul, Afghanistan; and Flat No. 41 Block No. 24 Macroyan 3, Kabul, Afghanistan. (See alternate addresses under Pakistan). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Afghan-German Construction Company, Golaye Park, Shari Naw, Kabul, Afghanistan, and Dasht Qala, Takhar Province, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Muhammad Halim Ghoura, 501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri, Kabul, Afghanistan; and Flat No. 41 Block No. 24 Macroyan 3, Kabul, Afghanistan. (See alternate addresses under Pakistan). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Ologh Beg International Forwarders Ltd., 501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri, Kabul, Afghanistan. (See alternate address under Pakistan). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Onyx Construction Company, Shahr-e-Now, Charahi Haji Yaqoub, In front of the AIB Bank, District 10, Kabul, Afghanistan; and Char Rahi Ansari, Toaward Kolola Poshta, Shar-Naw Kabul, Afghanistan 11496. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Qazi Abdallah, a.k.a., the following four aliases:—Khan Dilawar;—Ibrahim Valid Javaid;—Jawid, Sa'id Jan 'Abd-al-Salam; and—Ibrahim Walid Microrayan 3rd Apt. 45, Block No. 21, Kabul, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Shan Mahmoud Khan Mangal, Kolola Pushta, Charahi Gul-e-Surkh, Kabul, Afghanistan; and Maidan Sahr, Hetefaq Market, Paktiya, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 44683, 8/1/14.
Triangle Technologies, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Wahab Karwan Construction Company (WKCC), Qabel Boy, Jalalabad Road, District 9, Kabul, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 44683, 8/1/14.
Zurmat Construction Company offices, House No. 319, 10th Street Wazeer Akbar Khan, Kabul, Afghanistan; and Wazir Akbar Khan, District 10, Apartment 319, Kabul, Afghanistan; and Tarin Cot City, Afghanistan; and Behind UNAMA Office, Pir Bagh Office, Gardez, Afghanistan; and House No. 01, Street No. 01, Muhaqeq Road (Behind Pakistan and Turkish Embassies), Mazar-e-Sharif, Afghanistan; and Hazratan Street (Behind Jalalalabad Teaching Hospital), Jalalalabad, Afghanistan, and Aino Mena, Street No. 22 (Blue Color House Left Side of Road), Kandahar, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Zurmat Foundation, House No. 319, 10th Street Wazeer Akbar Khan, Kabul, Afghanistan; and Wazir Muhammad—Akbar Khan, Kabul, Afghanistan; and Wazir Akbar Khan, District 10, Apartment 319, Kabul, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Zurmat Group of Companies, House No. 319, 10th Street Wazeer Akbar Khan, Kabul, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Zurmat Material Testing Laboratory, House 01, Street 01, Kart-e-3 (opposite of Habibia High School), Dar-ul-Aman Road, Kabul, Afghanistan; and House No. 02, Street No. 01, Kart-e-Malemin, Khandahar, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
ARGENTINA | Huawei Cloud Argentina, Buenos Aires, Argentina. | For all items subject to the EAR, see §§ 734.9(e) 1 and 744.11 of the EAR 2 | Presumption of denial | 85 FR 51603, 8/20/20. 87 FR 6026, 2/3/22. 87 FR 55250, 9/9/22.
Huawei Tech Investment Co., Ltd., Argentina, Av. Leandro N. Alem 815, C1054 CABA, Argentina. | For all items subject to the EAR, see §§ 734.9(e) 1 and 744.11 of the EAR 2 | Presumption of denial | 84 FR 43495, 8/21/19. 85 FR 29852, 5/19/20. 85 FR 36720, 6/18/20. 85 FR 51603, 8/20/20. 87 FR 6026, 2/3/22. 87 FR 55250, 9/9/22.
ARMENIA | Aram Kocharyan, Aram Khachatrian 12, Apt 93, Yerevan, 0015, Armenia. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 88 FR 85097, 12/7/23.
ARM-BEKAR LLC, Aram Khachatrian 12, Apt 93, Yerevan, 0015, Armenia. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 88 FR 85097, 12/7/23.
Bold Bridge International, LLC, a.k.a. the following alias:—BB Bold Bridge International. Room 463, H. Hakobyan 3, Yerevan, Armenia. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 75 FR 1701, 1/13/10.77 FR 24590, 4/25/12.
Hermine Kocharyan, Aram Khachatrian 12, Apt 93, Yerevan, 0015, Armenia. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 88 FR 85097, 12/7/23.
Markel Closed Joint Stock Company (Markel CJSC), 17, Apt 31, Mashtoc Avenue, Yerevan, Armenia, 375002; and 26 Dzorapi Street, Yerevan, 0015, Armenia | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 84 FR 40241, 8/14/19.
Medisar, LLC, a.k.a., the following one alias: —“Medisar” LLC. 4/9 Getari St., 0023 Yerevan, Armenia. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 32642, 5/22/23.
Tako LLC, the following one alias: —Taco LLC. 17 Garegin Nzhdehi Street, Shengavit, Yerevan, 0026, Armenia. | For all items subject to the EAR (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 88 FR 23334, 4/17/23.
Vertir Airlines, 8/3 D Angaght Street, 376009, Yerevan, Armenia; and 54-100 Mamikonyan Str., Yerevan, Armenial 79, Armenia. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 78 FR 75463, 12/12/13.
Veteran Avia LLC a.k.a., the following alias:—Veteran Airline. 64, Baghramyam Avenue, Apt 16, Yerevan 0033, Armenia; and 1 Eervand Kochari Street Room 1, 375070 Yerevan, Armenia (See also addresses under Greece, Pakistan, and U.K.) | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 44683, 8/1/14. 81 FR 8829, 2/23/16. 82 FR 2887, 1/10/17.
Yerevan Telecommunications Research Institute (YETRI) Closed Joint Stock Company (CJSC), 26, Dzorapy Street, 0015, Yerevan, Armenia | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 84 FR 40241, 8/14/19.
AUSTRALIA | Huawei Technologies (Australia) Pty Ltd., L6 799 Pacific Hwy, Chatswood, New South Wales, 2067, Australia. | For all items subject to the EAR, see §§ 734.9(e) 1 and 744.11 of the EAR 2 | Presumption of denial | 84 FR 43495, 8/21/19. 85 FR 29852, 5/19/20. 85 FR 36720, 6/18/20. 85 FR 51603, 8/20/20. 87 FR 6026, 2/3/22. 87 FR 55250, 9/9/22.
AUSTRIA | Gulf Gate Spedition GmbH, A-1040 Argentinierstrasse 35/6, Vienna, Austria. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 81 FR 40178, 6/21/16.
BAHRAIN | Huawei Technologies Bahrain, Building 647 2811 Road 2811, Block 428, Muharraq, Bahrain. | For all items subject to the EAR, see §§ 734.9(e) 1 and 744.11 of the EAR 2 | Presumption of denial | 84 FR 43495, 8/21/19. 85 FR 29852, 5/19/20. 85 FR 36720, 6/18/20. 85 FR 51603, 8/20/20. 87 FR 6026, 2/3/22. 87 FR 55250, 9/9/22.
Marzoghi Ltd., 12-20 Albaba Building 119 Road 1507, Manama, Bahrain. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 84 FR 61541, 11/13/19.
Mohammed Marzoghi, 12-20 Albaba Building 119 Road 1507, Manama, Bahrain. (See also addresses in the United Arab (Emirates). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 84 FR 61541, 11/13/19.
BELARUS | 140 Repair Plant JSC, a.k.a., the following two aliases:—Open Joint Stock Company 140 Repair Plant; and—JSC 140 Repair Plant. 19 Luysi Chalovskoy St., Borisov, 222512, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
558 Aircraft Repair Plant JSC, a.k.a., the following one alias:—JSC 558 ARP. 7 50 Years VLKSM St., Baranovichi, Brest region, 225320, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
2566 Radioelectronic Armament Repair Plant JSC, a.k.a., the following one alias:—JSC 2566 ZRREV. 54 Gagarina St., Borisov, 222511, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
AGAT—Control Systems—Managing Company of Geoinformation Control Systems Holding JSC, a.k.a., the following one alias:—AGAT—Control Systems. 117/1 Nezavisimosti Ave., Minsk, 220114, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
Agat-Electromechanical Plant OJSC, a.k.a., the following two aliases:—JSC Agat Electromechanical Plant; and—Agat-Elektromekhanicheski Zavod. 6 Volgogradskaya St., Minsk, 220012, Belarus; and 117, bld. 3, Nezavisimosti Ave., Minsk 220114, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
AGAT-SYSTEM, 51B Francyska Skaryna St., Minsk, 220141, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
ATE-Engineering LLC, 15A Smolenskaya St., Minsk, 220088, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
Bel Huawei Technologies LLC, a.k.a., the following one alias,—BellHuawei Technologies LLC. 5 Dzerzhinsky Ave., Minsk, 220036, Belarus. | For all items subject to the EAR, see §§ 734.9(e) 1 and 744.11 of the EAR 2 | Presumption of denial | 84 FR 43495, 8/21/19. 85 FR 29852, 5/19/20. 85 FR 36720, 6/18/20. 85 FR 51603, 8/20/20. 87 FR 6026, 2/3/22. 87 FR 55250, 9/9/22.
Belmicrosystems Research and Design Center, Office 313, 12 Korzhenevsky Street, 220108 Minsk, Republic of Belarus; and Korjenevsky Str., 12, Minsk, 220108, Republic of Belarus; and 12, Korzhenevskogo Str., Minsk, 220108, Belarus. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 75 FR 36516, 6/28/10. 77 FR 58006, 9/19/12. 90 FR 44499, 9/16/25.
BelOMO Holding, a.k.a., the following one alias:—The Belarusian Optical and Mechanical Association. 23 Makaenka St., Minsk, 220114, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
Belspetsyneshtechnika SFTUE, a.k.a., the following two aliases:—State-Owned Foreign Trade Unitary Enterprise Belspetsvneshtechnika; and—BSVT. 8 Kalinovsky St., Minsk, 220103, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
Beltechexport, CJSC, 86-B Nezavisimosti Ave., Minsk, 220012, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
BSVT-New Technologies, 187 Soltysa Street, Minsk, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
Department of Internal Affairs of the Gomel Region Executive Committee, a.k.a., the following one alias:—UVD of the Gomel Region Executive Committee. 3 Kommunarov Street, Gomel, 246050, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
DMT Trading LLC, 89/2 Pobediteley Ave., 220020 Minsk, Belarus. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 88 FR 13675, 3/6/23.
Internal Troops of The Ministry of Internal Affairs of the Republic of Belarus, a.k.a., the following one alias:—MVD Internal Troops. 4 Gorodskoi Val, Minsk, 220030, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
Joint Stock Company Eleron, a.k.a., the following two aliases:—JSC FCS&HT “SNPO “Eleron”; and—SNPO Eleron. 11 Kalinina Per., Minsk, 220012, Belarus. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 34157, 6/6/22.
JSC Integral, a.k.a., the following two aliases:—OAO Integral; and—Joint-Stock Company Integral—Holding Managing Company. 121A, Kazintsa I.P. Str., Minsk, 220108, Belarus; and 12 Korzhenevskogo Str., Minsk, 220108, Belarus; and 137 Brestskaya Str., Pinsk, Brest region, 225710, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR). This license requirement may be overcome by License Exception GOV under § 740.11(b)(2) and (e) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99 and for U.S. Government supported use in the International Space Station (ISS), which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 13061, 3/8/22.87 FR 34136, 6/6/22.87 FR 38925, 6/30/22.
KGB Alpha, a.k.a., the following three aliases:—the State Security Committee Alpha;—Alpha Group; and—Group A. Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
Kidma Tech OJSC, a.k.a., the following two aliases:—BSVT-New Technologies; and—BSVT-NT. 187 Soltysa Street, Minsk, 220070, Belarus; and 5/1 Ustenskiy Selsovyet, Orshanskiy Region, Vitebskaya Oblast, Ag. Ustye, 211003, Belarus. | All items subject to the EAR. See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
Minotor-Service, a.k.a., the following one alias:—Industrial-Commercial Private Unitary Enterprise Minotor-Service. 40 Radialnaya St., Minsk, 220070, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
Minsk Wheeled Tractor Plant, a.k.a., the following two aliases:—MZKT; and—Production Republican Unitary Enterprise Minsk Wheeled Tractor Plant. 150 Partizansky Avenue, Minsk, 220021, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
Mohammad Ghassem Najafi, Unit 705, No. 103, Potbediteley Ave., Minsk, Belarus. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 83 FR 48534, 9/26/18.
Nanotech Ltd, a.k.a., the following one alias: —OOO NANOTEKH. 6 Oginskogo Street, Minsk, 220114, Belarus. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial | 88 FR 85097, 12/7/23.
Nilco Group, a.k.a., the following one alias:—Nilfam Khazar Co. Unit 705, No. 103, Potbediteley Ave., Minsk, Belarus (see alternate addresses under Iran and Russia.) | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 83 FR 48534, 9/26/18.
Oboronnye Initsiativy LLC, a.k.a., the following one alias:—LLC Defense Initiatives. 18 1st lane F. Skaryna, Minsk, 220070, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
